country,country_aff
Afghanistan,Afghanistan
Albania,Albania
Algeria,Algeria
Andorra,Andorra
Angola,Angola
Antarctica,Antarctica
Antigua and Barbuda,Antigua and Barbuda
Argentina,Argentina
Armenia,Armenia
Indian Ocean Territories,Australia
Ashmore and Cartier Islands,Australia
Heard Island and McDonald Islands,Australia
Norfolk Island,Australia
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
Bahrain,Bahrain
Bangladesh,Bangladesh
Barbados,Barbados
Belarus,Belarus
Belgium,Belgium
Belize,Belize
Benin,Benin
Bhutan,Bhutan
Bolivia,Bolivia
Bosnia and Herzegovina,Bosnia and Herzegovina
Botswana,Botswana
Brazil,Brazil
Brunei,Brunei
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Burundi,Burundi
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
Cape Verde,Cape Verde
Central African Republic,Central African Republic
Chad,Chad
Chile,Chile
Macao S.A.R,China
China,China
Hong Kong S.A.R.,China
Colombia,Colombia
Comoros,Comoros
Costa Rica,Costa Rica
Croatia,Croatia
Cuba,Cuba
Cyprus,Cyprus
Czech Republic,Czech Republic
Democratic Republic of the Congo,Democratic Republic of the Congo
Greenland,Denmark
Denmark,Denmark
Faroe Islands,Denmark
Djibouti,Djibouti
Dominica,Dominica
Dominican Republic,Dominican Republic
East Timor,East Timor
Ecuador,Ecuador
Egypt,Egypt
El Salvador,El Salvador
Equatorial Guinea,Equatorial Guinea
Eritrea,Eritrea
Estonia,Estonia
Ethiopia,Ethiopia
Federated States of Micronesia,Federated States of Micronesia
Fiji,Fiji
Finland,Finland
Aland,Finland
French Polynesia,France
Saint Martin,France
New Caledonia,France
Wallis and Futuna,France
France,France
French Southern and Antarctic Lands,France
Saint Barthelemy,France
Saint Pierre and Miquelon,France
Gabon,Gabon
Gambia,Gambia
Georgia,Georgia
Germany,Germany
Ghana,Ghana
Greece,Greece
Grenada,Grenada
Guatemala,Guatemala
Guinea,Guinea
Guinea Bissau,Guinea Bissau
Guyana,Guyana
Haiti,Haiti
Honduras,Honduras
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
Iran,Iran
Iraq,Iraq
Ireland,Ireland
Israel,Israel
Palestine,Israel
Italy,Italy
Ivory Coast,Ivory Coast
Jamaica,Jamaica
Japan,Japan
Jordan,Jordan
Siachen Glacier,Kashmir
Kazakhstan,Kazakhstan
Kenya,Kenya
Kiribati,Kiribati
Kosovo,Kosovo
Kuwait,Kuwait
Kyrgyzstan,Kyrgyzstan
Laos,Laos
Latvia,Latvia
Lebanon,Lebanon
Lesotho,Lesotho
Liberia,Liberia
Libya,Libya
Liechtenstein,Liechtenstein
Lithuania,Lithuania
Luxembourg,Luxembourg
Macedonia,Macedonia
Madagascar,Madagascar
Malawi,Malawi
Malaysia,Malaysia
Maldives,Maldives
Mali,Mali
Malta,Malta
Marshall Islands,Marshall Islands
Mauritania,Mauritania
Mauritius,Mauritius
Mexico,Mexico
Moldova,Moldova
Monaco,Monaco
Mongolia,Mongolia
Montenegro,Montenegro
Morocco,Morocco
Mozambique,Mozambique
Myanmar,Myanmar
Namibia,Namibia
Nauru,Nauru
Nepal,Nepal
Aruba,Netherlands
Curaçao,Netherlands
Sint Maarten,Netherlands
Netherlands,Netherlands
Cook Islands,New Zealand
Niue,New Zealand
New Zealand,New Zealand
Nicaragua,Nicaragua
