country,country_aff,birth_year,num_users
Albania,Albania,1989,1
Albania,Albania,1991,1
Albania,Albania,1992,5
Albania,Albania,1993,5
Albania,Albania,1994,2
Albania,Albania,1995,3
Albania,Albania,1996,1
Albania,Albania,1997,3
Albania,Albania,1998,3
Albania,Albania,1999,1
Albania,Albania,2000,1
Albania,Albania,2002,2
Albania,Albania,2003,2
Algeria,Algeria,1988,1
Algeria,Algeria,1989,4
Algeria,Algeria,1990,2
Algeria,Algeria,1991,4
Algeria,Algeria,1992,9
Algeria,Algeria,1993,8
Algeria,Algeria,1994,9
Algeria,Algeria,1995,8
Algeria,Algeria,1996,5
Algeria,Algeria,1997,7
Algeria,Algeria,1998,7
Algeria,Algeria,1999,6
Algeria,Algeria,2000,4
Algeria,Algeria,2002,3
Algeria,Algeria,2005,1
Andorra,Andorra,1988,1
Andorra,Andorra,1992,1
Andorra,Andorra,1995,2
Andorra,Andorra,1996,1
Andorra,Andorra,1998,1
Angola,Angola,1988,1
Angola,Angola,1989,1
Angola,Angola,1992,1
Angola,Angola,1993,2
Angola,Angola,1997,1
Angola,Angola,2002,1
Antarctica,Antarctica,1985,1
Antarctica,Antarctica,1988,1
Antarctica,Antarctica,1989,3
Antarctica,Antarctica,1990,3
Antarctica,Antarctica,1991,1
Antarctica,Antarctica,1992,3
Antarctica,Antarctica,1993,2
Antarctica,Antarctica,1994,2
Antarctica,Antarctica,1995,3
Antarctica,Antarctica,1997,2
Antarctica,Antarctica,1998,1
Antarctica,Antarctica,1999,1
Antarctica,Antarctica,2000,1
Antarctica,Antarctica,2001,1
Antigua and Barbuda,Antigua and Barbuda,1987,1
Antigua and Barbuda,Antigua and Barbuda,1995,1
Antigua and Barbuda,Antigua and Barbuda,1998,1
Antigua and Barbuda,Antigua and Barbuda,2002,1
Argentina,Argentina,1970,1
Argentina,Argentina,1971,1
Argentina,Argentina,1973,1
Argentina,Argentina,1975,1
Argentina,Argentina,1976,2
Argentina,Argentina,1979,2
Argentina,Argentina,1980,4
Argentina,Argentina,1981,1
Argentina,Argentina,1982,5
Argentina,Argentina,1983,9
Argentina,Argentina,1984,11
Argentina,Argentina,1985,5
Argentina,Argentina,1986,21
Argentina,Argentina,1987,19
Argentina,Argentina,1988,37
Argentina,Argentina,1989,49
Argentina,Argentina,1990,65
Argentina,Argentina,1991,52
Argentina,Argentina,1992,40
Argentina,Argentina,1993,50
Argentina,Argentina,1994,63
Argentina,Argentina,1995,43
Argentina,Argentina,1996,60
Argentina,Argentina,1997,44
Argentina,Argentina,1998,43
Argentina,Argentina,1999,47
Argentina,Argentina,2000,30
Argentina,Argentina,2001,15
Argentina,Argentina,2002,7
Argentina,Argentina,2003,1
Armenia,Armenia,1987,2
Armenia,Armenia,1988,1
Armenia,Armenia,1993,1
Armenia,Armenia,1994,1
Armenia,Armenia,1997,1
Aruba,Aruba,1991,1
Aruba,Aruba,1994,1
Aruba,Aruba,1996,2
Aruba,Aruba,1997,2
Aruba,Aruba,1999,1
Aruba,Aruba,2000,1
Australia,Australia,1969,2
Australia,Australia,1970,1
Australia,Australia,1971,2
Australia,Australia,1973,3
Australia,Australia,1974,2
Australia,Australia,1975,2
Australia,Australia,1976,3
Australia,Australia,1978,5
Australia,Australia,1979,5
Australia,Australia,1980,8
Australia,Australia,1981,5
Australia,Australia,1982,17
Australia,Australia,1983,14
Australia,Australia,1984,11
Australia,Australia,1985,26
Australia,Australia,1986,36
Australia,Australia,1987,66
Australia,Australia,1988,72
Australia,Australia,1989,100
Australia,Australia,1990,169
Australia,Australia,1991,186
Australia,Australia,1992,229
Australia,Australia,1993,227
Australia,Australia,1994,238
Australia,Australia,1995,263
Australia,Australia,1996,250
Australia,Australia,1997,199
Australia,Australia,1998,162
Australia,Australia,1999,128
Australia,Australia,2000,81
Australia,Australia,2001,59
Australia,Australia,2002,15
Australia,Australia,2003,13
Australia,Australia,2004,1
Australia,Australia,2005,2
Australia,Australia,2006,2
Australia,Australia,2007,2
Austria,Austria,1974,1
Austria,Austria,1978,1
Austria,Austria,1981,2
Austria,Austria,1982,2
Austria,Austria,1983,4
Austria,Austria,1984,6
Austria,Austria,1985,5
Austria,Austria,1986,7
Austria,Austria,1987,11
Austria,Austria,1988,23
Austria,Austria,1989,25
Austria,Austria,1990,27
Austria,Austria,1991,40
Austria,Austria,1992,41
Austria,Austria,1993,23
Austria,Austria,1994,34
Austria,Austria,1995,28
Austria,Austria,1996,21
Austria,Austria,1997,25
Austria,Austria,1998,12
Austria,Austria,1999,12
Austria,Austria,2000,11
Austria,Austria,2001,4
Austria,Austria,2002,4
Austria,Austria,2003,1
Azerbaijan,Azerbaijan,1982,1
Azerbaijan,Azerbaijan,1987,1
Azerbaijan,Azerbaijan,1988,2
Azerbaijan,Azerbaijan,1989,1
Azerbaijan,Azerbaijan,1990,3
Azerbaijan,Azerbaijan,1991,3
Azerbaijan,Azerbaijan,1992,2
Azerbaijan,Azerbaijan,1993,4
Azerbaijan,Azerbaijan,1994,2
Azerbaijan,Azerbaijan,1995,7
Azerbaijan,Azerbaijan,1996,6
Azerbaijan,Azerbaijan,1997,1
Azerbaijan,Azerbaijan,1998,1
Azerbaijan,Azerbaijan,1999,4
Azerbaijan,Azerbaijan,2000,1
Azerbaijan,Azerbaijan,2001,1
Bahamas,Bahamas,1989,1
Bahamas,Bahamas,1991,2
Bahamas,Bahamas,1993,2
Bahamas,Bahamas,1994,2
Bahamas,Bahamas,1995,1
Bahamas,Bahamas,1996,1
Bahamas,Bahamas,1998,1
Bahamas,Bahamas,1999,1
Bahrain,Bahrain,1985,1
Bahrain,Bahrain,1986,3
Bahrain,Bahrain,1987,3
Bahrain,Bahrain,1988,4
Bahrain,Bahrain,1989,6
Bahrain,Bahrain,1990,6
Bahrain,Bahrain,1991,3
Bahrain,Bahrain,1992,7
Bahrain,Bahrain,1993,6
Bahrain,Bahrain,1994,10
Bahrain,Bahrain,1995,8
Bahrain,Bahrain,1996,4
Bahrain,Bahrain,1997,7
Bahrain,Bahrain,1998,5
Bahrain,Bahrain,1999,3
Bangladesh,Bangladesh,1986,1
Bangladesh,Bangladesh,1987,4
Bangladesh,Bangladesh,1988,5
Bangladesh,Bangladesh,1989,3
Bangladesh,Bangladesh,1990,11
Bangladesh,Bangladesh,1991,13
Bangladesh,Bangladesh,1992,17
Bangladesh,Bangladesh,1993,24
Bangladesh,Bangladesh,1994,30
Bangladesh,Bangladesh,1995,22
Bangladesh,Bangladesh,1996,32
Bangladesh,Bangladesh,1997,35
Bangladesh,Bangladesh,1998,40
Bangladesh,Bangladesh,1999,23
Bangladesh,Bangladesh,2000,21
Bangladesh,Bangladesh,2001,11
Bangladesh,Bangladesh,2002,5
Bangladesh,Bangladesh,2003,3
Bangladesh,Bangladesh,2004,1
Barbados,Barbados,1988,1
Barbados,Barbados,1990,1
Barbados,Barbados,1993,1
Barbados,Barbados,1994,2
Barbados,Barbados,1997,2
Belarus,Belarus,1976,1
Belarus,Belarus,1979,1
Belarus,Belarus,1983,2
Belarus,Belarus,1984,2
Belarus,Belarus,1985,1
Belarus,Belarus,1986,1
Belarus,Belarus,1987,6
Belarus,Belarus,1988,7
Belarus,Belarus,1989,13
Belarus,Belarus,1990,19
Belarus,Belarus,1991,15
Belarus,Belarus,1992,23
Belarus,Belarus,1993,12
Belarus,Belarus,1994,17
Belarus,Belarus,1995,7
Belarus,Belarus,1996,4
Belarus,Belarus,1997,4
Belarus,Belarus,1998,3
Belarus,Belarus,1999,1
Belarus,Belarus,2000,2
Belarus,Belarus,2002,1
Belarus,Belarus,2007,1
Belarus,Belarus,2008,1
Belgium,Belgium,1974,2
Belgium,Belgium,1975,1
Belgium,Belgium,1977,1
Belgium,Belgium,1978,3
Belgium,Belgium,1979,1
Belgium,Belgium,1980,5
Belgium,Belgium,1981,6
Belgium,Belgium,1982,2
Belgium,Belgium,1983,6
Belgium,Belgium,1984,12
Belgium,Belgium,1985,11
Belgium,Belgium,1986,20
Belgium,Belgium,1987,35
Belgium,Belgium,1988,40
Belgium,Belgium,1989,60
Belgium,Belgium,1990,61
Belgium,Belgium,1991,68
Belgium,Belgium,1992,47
Belgium,Belgium,1993,66
Belgium,Belgium,1994,65
Belgium,Belgium,1995,69
Belgium,Belgium,1996,50
Belgium,Belgium,1997,50
Belgium,Belgium,1998,38
Belgium,Belgium,1999,21
Belgium,Belgium,2000,13
Belgium,Belgium,2001,13
Belgium,Belgium,2002,5
Belgium,Belgium,2005,1
Belize,Belize,1983,1
Belize,Belize,1991,1
Belize,Belize,1992,2
Belize,Belize,1994,1
Belize,Belize,1999,1
Bermuda,United Kingdom,1987,1
Bermuda,United Kingdom,1988,1
Bermuda,United Kingdom,1994,1
Bhutan,Bhutan,1988,1
Bhutan,Bhutan,1993,1
Bhutan,Bhutan,1994,1
Bhutan,Bhutan,1997,1
Bhutan,Bhutan,1999,1
Bolivia,Bolivia,1983,1
Bolivia,Bolivia,1987,1
Bolivia,Bolivia,1990,2
Bolivia,Bolivia,1991,1
Bolivia,Bolivia,1992,5
Bolivia,Bolivia,1993,2
Bolivia,Bolivia,1996,1
Bolivia,Bolivia,2000,1
Bosnia and Herzegovina,Bosnia and Herzegovina,1984,2
Bosnia and Herzegovina,Bosnia and Herzegovina,1985,3
Bosnia and Herzegovina,Bosnia and Herzegovina,1986,3
Bosnia and Herzegovina,Bosnia and Herzegovina,1987,1
Bosnia and Herzegovina,Bosnia and Herzegovina,1988,4
Bosnia and Herzegovina,Bosnia and Herzegovina,1989,3
Bosnia and Herzegovina,Bosnia and Herzegovina,1990,7
Bosnia and Herzegovina,Bosnia and Herzegovina,1991,8
Bosnia and Herzegovina,Bosnia and Herzegovina,1992,7
Bosnia and Herzegovina,Bosnia and Herzegovina,1993,9
Bosnia and Herzegovina,Bosnia and Herzegovina,1994,8
Bosnia and Herzegovina,Bosnia and Herzegovina,1995,8
Bosnia and Herzegovina,Bosnia and Herzegovina,1996,9
Bosnia and Herzegovina,Bosnia and Herzegovina,1997,7
Bosnia and Herzegovina,Bosnia and Herzegovina,1998,4
Bosnia and Herzegovina,Bosnia and Herzegovina,1999,3
Bosnia and Herzegovina,Bosnia and Herzegovina,2000,1
Bosnia and Herzegovina,Bosnia and Herzegovina,2001,1
Botswana,Botswana,1987,1
Botswana,Botswana,1993,1
Botswana,Botswana,1996,1
Brazil,Brazil,1970,2
Brazil,Brazil,1971,3
Brazil,Brazil,1974,5
Brazil,Brazil,1975,5
Brazil,Brazil,1976,3
Brazil,Brazil,1977,14
Brazil,Brazil,1978,4
Brazil,Brazil,1979,12
Brazil,Brazil,1980,13
Brazil,Brazil,1981,16
Brazil,Brazil,1982,34
Brazil,Brazil,1983,40
Brazil,Brazil,1984,62
Brazil,Brazil,1985,75
Brazil,Brazil,1986,107
Brazil,Brazil,1987,133
Brazil,Brazil,1988,182
Brazil,Brazil,1989,231
Brazil,Brazil,1990,335
Brazil,Brazil,1991,343
Brazil,Brazil,1992,422
